Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,4246.53,4269.38,4233.29,4250.60,128366300,4250.60
2014-01-09,4260.22,4278.11,4216.07,4225.14,137083700,4225.14
2014-01-08,4269.46,4272.07,4245.56,4260.96,100876000,4260.96
2014-01-07,4231.50,4266.96,4215.59,4262.68,102867800,4262.68
2014-01-06,4242.27,4261.34,4221.71,4227.54,68734800,4227.54
2014-01-03,4238.76,4258.89,4228.85,4247.65,59137700,4247.65
2014-01-02,4307.40,4312.59,4226.66,4227.28,86282800,4227.28
2013-12-31,4280.76,4297.23,4280.76,4295.95,19638000,4295.95
2013-12-30,4283.42,4289.53,4267.63,4275.71,65865100,4275.71
2013-12-27,4245.64,4279.28,4237.20,4277.65,75689200,4277.65
2013-12-24,4209.61,4229.68,4209.42,4218.41,18874800,4218.41
2013-12-23,4199.92,4215.29,4187.95,4215.29,72498700,4215.29
2013-12-20,4176.89,4200.31,4166.53,4193.77,193420900,4193.77
2013-12-19,4146.44,4184.33,4143.60,4154.27,68178600,4154.27
2013-12-18,4087.57,4109.51,4074.28,4109.51,88914200,4109.51
2013-12-17,4100.76,4100.76,4068.64,4068.64,87590900,4068.64
2013-12-16,4051.93,4128.98,4051.25,4119.88,93624600,4119.88
2013-12-13,4069.58,4085.80,4053.41,4059.71,74611100,4059.71
2013-12-12,4077.98,4090.19,4056.37,4069.12,84997300,4069.12
2013-12-11,4094.12,4127.97,4085.63,4086.86,91017900,4086.86
2013-12-10,4126.62,4144.80,4091.14,4091.14,78886900,4091.14
2013-12-09,4143.30,4143.30,4109.92,4134.10,77073800,4134.10
2013-12-06,4110.85,4140.68,4082.14,4129.37,101580200,4129.37
2013-12-05,4140.76,4157.05,4099.91,4099.91,101273400,4099.91
2013-12-04,4184.30,4192.53,4120.10,4148.52,99698600,4148.52
2013-12-03,4275.95,4277.27,4172.44,4172.44,113870100,4172.44
2013-12-02,4294.65,4309.31,4273.42,4285.81,72972900,4285.81
2013-11-29,4297.14,4310.66,4294.39,4295.21,70660600,4295.21
2013-11-28,4291.56,4311.81,4289.43,4302.42,49972600,4302.42
2013-11-27,4286.74,4303.97,4276.79,4293.06,89111400,4293.06
2013-11-26,4295.99,4304.87,4277.57,4277.57,81270800,4277.57
2013-11-25,4298.01,4307.98,4290.78,4301.97,64808400,4301.97
2013-11-22,4264.96,4285.03,4250.78,4278.53,75800200,4278.53
2013-11-21,4246.88,4266.06,4222.31,4253.90,77561300,4253.90
2013-11-20,4263.14,4290.82,4248.58,4268.37,79458700,4268.37
2013-11-19,4303.35,4303.35,4264.33,4272.29,69371900,4272.29
2013-11-18,4289.22,4336.61,4277.21,4320.68,80574600,4320.68
2013-11-15,4281.53,4299.67,4271.55,4292.23,93037300,4292.23
2013-11-14,4285.86,4294.15,4257.51,4283.91,97078200,4283.91
2013-11-13,4250.86,4266.45,4213.21,4239.94,86448400,4239.94
2013-11-12,4289.02,4297.94,4263.78,4263.78,68895500,4263.78
2013-11-11,4262.80,4296.02,4253.47,4290.14,56971900,4290.14
2013-11-08,4254.30,4267.75,4211.82,4260.44,108454500,4260.44
2013-11-07,4282.98,4356.28,4269.29,4280.99,150594700,4280.99
2013-11-06,4265.43,4299.87,4265.43,4286.93,85653100,4286.93
2013-11-05,4296.56,4296.95,4232.96,4253.34,103977800,4253.34
2013-11-04,4284.83,4296.07,4276.81,4288.59,60398200,4288.59
2013-11-01,4302.03,4305.26,4266.97,4273.19,55272500,4273.19
2013-10-31,4260.80,4303.82,4254.89,4299.89,94117200,4299.89
2013-10-30,4272.55,4309.92,4264.58,4274.11,79788000,4274.11
2013-10-29,4241.82,4281.47,4241.82,4278.09,80230900,4278.09
2013-10-28,4287.89,4288.86,4236.03,4251.61,76895900,4251.61
2013-10-25,4248.73,4279.77,4242.22,4272.31,85491700,4272.31
2013-10-24,4271.51,4281.03,4259.84,4275.69,81353000,4275.69
2013-10-23,4272.25,4274.76,4249.61,4260.66,111605000,4260.66
2013-10-22,4266.02,4309.15,4263.23,4295.43,98589500,4295.43
2013-10-21,4285.71,4286.15,4267.54,4276.92,76389900,4276.92
2013-10-18,4259.81,4286.03,4246.89,4286.03,97855900,4286.03
2013-10-17,4233.88,4242.41,4204.74,4239.64,93448900,4239.64
2013-10-16,4230.52,4247.54,4213.40,4243.72,103286100,4243.72
2013-10-15,4239.21,4261.74,4232.13,4256.02,89147800,4256.02
2013-10-14,4206.10,4222.96,4192.59,4222.96,68353200,4222.96
2013-10-11,4227.31,4227.54,4209.12,4219.98,82964500,4219.98
2013-10-10,4156.42,4220.62,4148.42,4218.11,112910700,4218.11
2013-10-09,4127.42,4162.25,4113.68,4127.05,100956600,4127.05
2013-10-08,4160.88,4172.18,4133.19,4133.53,80755100,4133.53
2013-10-07,4145.11,4165.58,4105.67,4165.58,70427600,4165.58
2013-10-04,4127.34,4176.26,4124.67,4164.25,73009600,4164.25
2013-10-03,4158.93,4166.92,4124.83,4127.98,70162300,4127.98
2013-10-02,4177.62,4180.79,4136.79,4158.16,86634500,4158.16
2013-10-01,4151.92,4196.60,4150.04,4196.60,81348300,4196.60
2013-09-30,4141.55,4150.44,4120.24,4143.44,90782800,4143.44
2013-09-27,4193.17,4201.21,4163.70,4186.77,74908000,4186.77
2013-09-26,4199.02,4202.40,4170.67,4186.72,84538000,4186.72
2013-09-25,4185.20,4202.54,4171.88,4195.35,82546800,4195.35
2013-09-24,4174.86,4206.30,4174.26,4195.61,83359100,4195.61
2013-09-23,4207.18,4216.92,4162.84,4172.08,87034800,4172.08
2013-09-20,4194.94,4219.90,4193.92,4203.66,199054700,4203.66
